id,district,address,lat,lon,price,area,rooms,floor,total_floors,series,year_built,wall_type,has_lift,has_balcony,reputation_score,top_issues,dist_metro_m,schools_1km,parks_1km,shops_1km,url,photo_url
1,Центральный,"наб. реки Фонтанки, д. 45",59.9245,30.3365,18500000,65.0,2,4,9,"137 серия",1985,Кирпич,True,True,72,"Шумоизоляция, Старый лифт, Чистый подъезд",350,4,2,12,https://cian.ru/flat/1,https://via.placeholder.com/400x300?text=Фото+1
2,Петроградский,"Крестовский пр., д. 15",59.9512,30.2680,42000000,110.0,4,7,12,Монолит,2015,Монолит,True,True,94,"Консьерж, Паркинг, Тихий двор",420,3,5,8,https://cian.ru/flat/2,https://via.placeholder.com/400x300?text=Фото+2
3,Выборгский,"Выборгская наб., д. 85",60.0250,30.3310,9500000,38.0,1,2,5,"528КП",1972,Панель,False,False,41,"Протекает крыша, Грязный подъезд, Холод",650,5,1,15,https://cian.ru/flat/3,https://via.placeholder.com/400x300?text=Фото+3
4,Василеостровский,"4-я линия В.О., д. 21",59.9360,30.2750,12500000,45.0,2,3,5,"Спецпроект",1960,Кирпич,False,True,58,"Тонкие перегородки, Высокие потолки",280,2,3,18,https://cian.ru/flat/4,https://via.placeholder.com/400x300?text=Фото+4
5,Петроградский,"Большой пр. П.С., д. 100",59.9620,30.3150,21000000,72.0,3,5,9,"137 улучш.",1990,Кирпич,True,True,81,"Хороший двор, Новая УК, Ремонт подъезда",310,4,4,10,https://cian.ru/flat/5,https://via.placeholder.com/400x300?text=Фото+5
6,Адмиралтейский,"Гаванская ул., д. 15",59.9450,30.2200,8200000,32.0,1,8,9,"600.11",1978,Панель,True,False,52,"Холодно зимой, Старые трубы, Лифт мал",480,3,2,20,https://cian.ru/flat/6,https://via.placeholder.com/400x300?text=Фото+6
7,Московский,"Московский пр., д. 140",59.8750,30.3100,11000000,50.0,2,6,12,"Корабль",1975,Панель,True,True,68,"Рядом метро, Шумно, Магазины у дома",150,6,1,25,https://cian.ru/flat/7,https://via.placeholder.com/400x300?text=Фото+7
8,Красногвардейский,"Среднеохтинский пр., д. 8",59.9500,30.3750,9800000,42.0,1,4,9,"528КП",1974,Панель,False,False,45,"Плесень в ванной, Соседи, Слабая вент.",520,4,2,14,https://cian.ru/flat/8,https://via.placeholder.com/400x300?text=Фото+8
9,Петроградский,"Каменноостровский пр., д. 28",59.9700,30.3100,25000000,85.0,3,3,6,Элит,2005,Монолит,True,True,89,"Вид на реку, Тихий двор, Охрана",210,2,6,7,https://cian.ru/flat/9,https://via.placeholder.com/400x300?text=Фото+9
10,Выборгский,"Сев. авеню, Парнас, д. 50",60.0600,30.3500,6500000,35.0,1,12,25,Монолит-кирпич,2018,Монолит,True,True,76,"Плотная застройка, Пробки, Новые коммуникации",850,7,1,22,https://cian.ru/flat/10,https://via.placeholder.com/400x300?text=Фото+10
11,Кировский,"Нарвский пр., д. 18",59.8900,30.2700,7500000,30.0,1,5,5,"Сталинка",1955,Кирпич,False,True,70,"Высокие потолки, Хол. вода, Толстые стены",390,3,4,16,https://cian.ru/flat/11,https://via.placeholder.com/400x300?text=Фото+11
12,Московский,"ул. Ленсовета, д. 20",59.8300,30.3200,8800000,40.0,1,9,9,"Чешка",1982,Панель,True,False,54,"Далеко от метро, Гаражи во дворе, Шум",720,5,2,19,https://cian.ru/flat/12,https://via.placeholder.com/400x300?text=Фото+12
13,Калининский,"Свердловская наб., д. 40",59.9600,30.3700,16000000,60.0,2,7,16,"137 серия",1988,Кирпич,True,True,79,"Паркинг, Чистый двор, Рядом река",410,4,3,13,https://cian.ru/flat/13,https://via.placeholder.com/400x300?text=Фото+13
14,Петроградский,"Б. Зеленина ул., д. 15",59.9580,30.3000,19500000,65.0,2,4,6,Кирпич,1912,Кирпич,False,True,83,"Центр, Тихо, Историческая застройка",290,2,5,21,https://cian.ru/flat/14,https://via.placeholder.com/400x300?text=Фото+14
15,Выборгский,"пр. Просвещения, д. 30",60.0500,30.3600,9200000,45.0,2,10,22,Монолит,2010,Монолит,True,True,74,"Зеленый район, Школа рядом, Пробки утром",180,6,3,17,https://cian.ru/flat/15,https://via.placeholder.com/400x300?text=Фото+15
