id,address,lat,lon,price,area,rooms,series,reputation_score,issues
1,"наб. реки Фонтанки, д. 50",59.9245,30.3365,18500000,65,2,"137 серия",75,"Шумоизоляция стен, Старый лифт"
2,"Крестовский проспект, д. 15",59.9512,30.2680,42000000,110,4,"Монолит",92,"Нет проблем, Консьерж"
3,"Выборгская набережная, д. 85",60.0250,30.3310,9500000,38,1,"528КП",45,"Протекает крыша, Грязный подъезд"
4,"Васильевский остров, 4-я линия, д. 21",59.9360,30.2750,12500000,45,2,"Кирпич спецпроект",60,"Тонкие перегородки"
5,"Большой проспект П.С., д. 100",59.9620,30.3150,21000000,72,3,"137 серия улучш.",80,"Хороший двор, Новая УК"
6,"Гаванская ул., д. 15",59.9450,30.2200,8200000,32,1,"600.11",55,"Холодно зимой, Старые трубы"
7,"Московский проспект, д. 140",59.8750,30.3100,11000000,50,2,"Корабль",70,"Рядом метро, Шумно"
8,"Среднеохтинский пр., д. 8",59.9500,30.3750,9800000,42,1,"528КП",40,"Плесень в ванной, Соседи"
9,"Каменноостровский пр., д. 28",59.9700,30.3100,25000000,85,3,"Элит",88,"Вид на реку, Тихий двор"
10,"Сев. авеню, Парнас, д. 50",60.0600,30.3500,6500000,35,1,"Монолит-кирпич",65,"Плотная застройка, Пробки"
11,"Нарвский проспект, д. 18",59.8900,30.2700,7500000,30,1,"Сталинка",72,"Высокие потолки, Хол. вода"
12,"Ул. Ленсовета, д. 20",59.8300,30.3200,8800000,40,1,"Чешка",50,"Далеко от метро, Гаражи во дворе"
13,"Свердловская наб., д. 40",59.9600,30.3700,16000000,60,2,"137 серия",78,"Паркинг, Чистый двор"
14,"Б. Зеленина ул., д. 15",59.9580,30.3000,19500000,65,2,"Кирпич",85,"Центр, Тихо"
15,"Проспект Просвещения, д. 30",60.0500,30.3600,9200000,45,2,"Корабль",60,"Зеленый район, Школа рядом"
16,"Озерковский пр., д. 12",60.0200,30.3250,10500000,48,2,"528КП",55,"Рядом озеро, Сырость"
17,"Аптекарский пр., д. 16",59.9650,30.3150,15500000,55,2,"137 серия",75,"Бот. сад рядом, Шумно"
18,"Лермонтовский пр., д. 25",59.9150,30.2950,13500000,50,2,"Кирпич",68,"Центр, Старая проводка"
19,"Ул. Савушкина, д. 14",59.9750,30.2500,11500000,46,1,"Чешка",70,"Рядом море, Ветрено"
20,"Гороховая ул., д. 45",59.9280,30.3250,14000000,55,2,"Сталинка",82,"Шикарный вид, Холодно"
